date,departure_rail_station_crs,destination_rail_station_crs,service_count_total,service_count_ontime
2022-05-01,LDS,KGX,0,0
2022-05-02,LDS,KGX,9,7
2022-05-03,LDS,KGX,9,6
2022-05-04,LDS,KGX,9,7
2022-05-05,LDS,KGX,9,6
2022-05-06,LDS,KGX,9,9
2022-05-07,LDS,KGX,0,0
2022-05-08,LDS,KGX,0,0
2022-05-09,LDS,KGX,9,9
2022-05-10,LDS,KGX,9,7
2022-05-11,LDS,KGX,8,0
2022-05-12,LDS,KGX,9,7
2022-05-13,LDS,KGX,9,6
2022-05-14,LDS,KGX,0,0
2022-05-15,LDS,KGX,0,0
2022-05-16,LDS,KGX,9,8
2022-05-17,LDS,KGX,9,8
2022-05-18,LDS,KGX,9,7
2022-05-19,LDS,KGX,9,9
2022-05-20,LDS,KGX,9,8
2022-05-21,LDS,KGX,0,0
2022-05-22,LDS,KGX,0,0
2022-05-23,LDS,KGX,9,8
2022-05-24,LDS,KGX,9,7
2022-05-25,LDS,KGX,9,9
2022-05-26,LDS,KGX,9,9
2022-05-27,LDS,KGX,9,7
2022-05-28,LDS,KGX,0,0
2022-05-29,LDS,KGX,0,0
2022-05-30,LDS,KGX,8,6
